"Hits","HmRun","Runs","RBI","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","League","Division","NewLeague","Salary"
118,28,84,86,8,2723,750,126,433,420,"A","E","A",7.17011954344963
150,21,69,58,14,6126,1839,121,983,707,"A","E","N",6.90775527898214
171,13,94,83,13,6090,1840,128,969,900,"N","E","N",7.49554194388426
147,29,85,91,6,2816,815,117,405,474,"A","W","A",7.1777824161952
74,4,34,29,10,3919,1062,85,505,456,"N","W","N",6.60326608821398
161,26,89,96,4,1789,470,65,233,260,"N","W","N",6.4377516497364
91,12,51,43,2,342,94,12,51,44,"N","E","N",4.8283137373023
159,12,72,79,9,3082,880,83,363,477,"N","E","N",6.95017567537722
136,5,62,48,10,3423,970,20,408,303,"N","W","N",6.58617165485467
85,24,69,64,7,911,214,64,150,156,"A","W","A",5.7037824746562
223,31,119,96,3,1928,587,35,262,201,"A","W","A",5.89989735358249
64,0,31,26,1,279,64,0,31,26,"N","W","N",4.31748811353631
127,20,66,65,7,3006,844,116,436,458,"N","E","N",7.07609031211117
127,8,77,45,2,667,187,9,117,64,"N","E","N",5.31073988654659
70,8,33,37,12,4479,1222,94,557,483,"A","E","A",5.41610040220442
141,11,77,47,15,4291,1240,84,615,430,"A","E","A",6.26339826259162
52,9,26,28,6,805,191,30,113,119,"N","W","N",5.57972982598622
149,21,89,86,7,3558,928,102,513,471,"A","E","A",6.66886337069979
84,22,53,62,10,4273,1123,212,577,700,"A","E","N",6.68461172766793
128,28,67,94,13,5829,1552,210,740,840,"A","W","A",6.37587624601831
92,18,42,60,3,682,185,36,88,112,"A","E","A",4.97673374242057
157,20,95,73,10,4704,1320,93,724,522,"A","E","A",6.04025471127741
54,2,27,25,1,216,54,2,27,25,"N","W","N",4.31748811353631
179,4,94,60,5,1696,476,12,216,163,"A","E","A",6.35437004079735
131,19,77,55,7,2051,549,62,300,263,"A","W","A",6.65929391968364
56,12,22,36,2,216,58,12,24,37,"N","E","N",4.49980967033027
93,8,47,30,2,969,230,14,121,69,"N","W","N",5.01063529409626
148,14,64,78,13,3400,1000,113,445,491,"A","E","N",6.5510803350434
131,18,68,77,6,1416,398,47,210,203,"A","E","A",6.30991827822652
65,8,30,36,9,2815,698,55,315,325,"N","E","A",6.47697236288968
54,3,25,14,1,209,54,3,25,14,"A","W","A",4.21950770517611
71,3,18,30,3,344,76,3,20,36,"N","E","N",4.60517018598809
77,19,47,53,6,1928,516,90,247,288,"N","W","N",6.50727771238501
120,28,71,71,3,1085,259,54,150,167,"A","E","A",5.16478597392351
60,8,28,33,3,638,170,17,80,75,"A","W","A",4.91998092582813
1,0,0,0,2,41,9,2,6,7,"N","E","N",7.66262436147937
94,5,36,26,7,1968,519,26,181,199,"N","W","N",6.77422388635761
43,10,26,35,3,498,116,14,59,55,"A","W","A",4.78749174278205
75,6,38,23,3,580,160,8,71,33,"N","E","N",4.9416424226093
167,8,89,49,4,822,232,19,132,83,"N","E","N",5.34710753071747
110,9,61,45,7,3015,834,40,451,249,"N","E","N",6.68461172766793
76,7,34,37,4,1644,408,16,198,120,"N","W","N",5.48063892334199
93,9,43,42,5,1258,323,54,181,177,"A","E","A",5.85793315448346
137,2,58,47,2,1038,271,3,129,80,"A","W","A",5.16478597392351
152,18,105,49,2,978,249,36,168,91,"A","W","A",5.29831736654804
144,0,67,54,9,4739,1169,13,583,374,"N","E","N",7.57044325205737
80,15,45,48,7,1493,359,61,176,202,"N","W","N",6.5510803350434
163,12,88,50,4,1556,470,38,245,167,"A","W","A",6.62007320653036
83,9,43,41,14,5885,1543,104,751,714,"N","W","N",6.10924758276437
135,30,82,88,1,540,135,30,82,88,"A","W","A",5.14749447681345
123,9,62,55,9,4139,1203,79,676,390,"A","E","A",7.13886699994552
52,0,15,25,24,14053,4256,160,2165,1314,"N","W","N",6.62007320653036
56,6,41,19,5,1257,329,24,166,125,"A","E","A",5.24702407216049
154,6,61,48,6,1966,566,29,250,252,"A","E","A",6.36302810354046
72,0,33,31,5,354,82,0,41,32,"N","E","N",4.86753445045558
77,5,35,29,12,4933,1358,48,630,435,"A","W","A",6.10924758276437
96,7,50,45,5,1394,344,43,178,192,"A","W","A",5.7037824746562
56,4,22,18,12,2796,665,43,266,304,"A","E","A",5.52146091786225
70,13,42,36,16,7058,1845,312,965,1128,"N","E","A",6.95654544315157
108,33,75,86,3,652,142,44,102,109,"A","E","A",5.37063802812766
68,13,42,29,18,3949,939,78,438,380,"A","E","A",5.99146454710798
110,9,45,49,9,2331,658,50,249,322,"A","E","A",6.32793678372919
160,28,130,74,8,4071,1182,103,862,417,"A","E","A",7.4205789054108
101,18,65,58,20,9528,2510,548,1509,1659,"A","W","A",6.1892902904379
82,21,42,60,5,1770,408,115,238,299,"A","W","A",6.05208916892442
145,11,51,76,11,3967,1102,67,410,497,"N","E","A",6.21460809842219
76,5,35,39,6,912,234,12,102,96,"A","E","A",5.52146091786225
52,8,31,27,12,5134,1323,56,643,445,"A","E","A",5.99146454710798
90,11,50,45,10,2288,614,43,295,273,"A","E","A",6.10924758276437
135,8,52,44,9,3368,895,39,377,284,"N","W","N",6.62007320653036
68,2,32,22,1,312,68,2,32,22,"A","E","A",4.24849524204936
119,8,57,33,7,3358,882,36,365,280,"N","W","N",6.77422388635761
27,3,8,10,4,239,49,3,16,13,"N","E","N",5.24702407216049
68,5,42,42,6,961,238,16,128,104,"N","E","N",5.25227342804663
178,14,68,76,6,3146,902,74,494,345,"N","E","N",6.60665018619822
86,1,38,28,4,1089,267,3,94,71,"N","E","N",5.52146091786225
57,8,32,25,3,653,170,17,98,54,"N","E","N",4.9416424226093
101,16,50,55,1,382,101,16,50,55,"A","W","A",4.5798523780038
113,20,59,57,12,5348,1369,155,713,660,"A","W","A",6.60665018619822
149,7,73,47,1,549,149,7,73,47,"N","W","N",4.9416424226093
63,3,25,33,10,2682,667,38,315,259,"A","W","A",5.83383657851368
163,9,82,46,13,7037,2019,153,1043,827,"A","E","A",6.90775527898214
117,29,54,88,6,1750,412,100,204,276,"A","W","A",4.60517018598809
66,5,20,28,3,290,80,5,27,31,"A","W","A",4.49980967033027
140,16,73,77,4,730,185,22,93,106,"N","E","N",5.29831736654804
112,18,54,54,2,680,160,24,76,75,"A","W","A",4.90527477843843
145,17,66,68,2,831,210,21,106,86,"N","E","N",5.04342511691925
159,3,82,50,6,1619,426,11,218,149,"A","W","A",6.16331480403464
142,21,58,81,18,8759,2583,271,1138,1299,"N","W","N",7.27931883541462
96,0,44,36,4,711,148,1,68,56,"N","E","N",5.01063529409626
103,8,53,33,2,507,123,8,63,39,"A","W","A",4.65396035015752
122,1,67,45,4,1716,403,12,211,146,"A","W","A",5.85793315448346
210,6,91,56,6,3070,872,19,420,230,"N","W","N",4.49980967033027
169,17,88,73,8,3181,841,61,450,342,"A","E","A",6.27287700654617
76,3,42,25,8,2658,657,48,324,300,"A","E","A",5.83383657851368
152,23,69,75,6,2765,686,133,369,384,"A","W","A",6.84587987526405
213,10,91,65,4,1518,448,15,196,137,"A","E","A",5.85793315448346
103,3,48,28,8,1897,493,9,207,162,"N","W","N",5.78894130340415
70,1,26,23,4,888,220,9,83,82,"N","E","N",5.52146091786225
211,14,107,59,5,2364,770,27,352,230,"N","W","N",6.60665018619822
68,8,26,30,7,1337,339,32,135,163,"N","W","A",6.05208916892442
141,2,48,61,8,3162,874,16,421,349,"N","E","N",6.82979373751242
120,17,53,44,4,927,227,22,106,80,"A","W","A",5.22035582507832
4,1,2,3,1,19,4,1,2,3,"N","W","A",6.82437367004309
43,2,24,17,7,854,219,12,105,99,"N","E","N",5.65832126336946
47,10,21,29,6,1136,256,42,129,139,"A","W","A",5.50125821054473
61,4,17,22,17,4061,1145,83,488,491,"A","W","A",5.45958551414416
147,10,56,52,7,2872,821,63,307,340,"N","E","N",7.0475172213573
138,1,56,59,3,1399,357,7,149,161,"N","E","N",5.07517381523383
113,5,76,52,5,1546,397,17,226,149,"A","W","A",6.05208916892442
42,3,17,14,10,4086,1150,57,579,363,"N","W","N",6.80239476332431
32,4,14,25,19,8396,2402,242,1048,1348,"N","W","N",6.21460809842219
69,4,35,31,4,1359,355,31,180,148,"N","E","N",5.62582093318649
112,18,50,71,7,3031,771,110,338,406,"N","E","N",6.62007320653036
139,0,94,29,2,1236,309,1,201,69,"N","E","N",5.07517381523383
186,19,107,98,6,2728,753,69,399,366,"N","E","N",7.17011954344963
81,5,37,44,7,2268,566,41,279,257,"N","E","N",6.26339826259162
124,1,67,27,7,1775,506,6,272,125,"N","E","N",6.30991827822652
207,8,107,71,5,2778,978,32,474,322,"A","E","A",7.37775890822787
117,11,66,41,1,408,117,11,66,41,"N","W","N",4.78749174278205
172,22,82,100,1,593,172,22,82,100,"A","W","A",5.10594547390058
127,7,65,48,5,2703,806,32,379,311,"N","E","N",6.5510803350434
136,5,76,50,12,5511,1511,39,897,451,"A","E","A",6.77422388635761
126,3,61,43,6,1700,433,7,217,93,"A","W","A",5.95324333428778
144,9,85,60,8,3198,857,97,470,420,"A","E","A",6.86693328446188
170,9,77,44,11,4908,1457,30,775,357,"A","W","A",6.90775527898214
